Index,x,y,size,angle,response
362,105.084,335.891,2.27706,349.419,0.00076111
363,105.199,113.06,2.40491,222.638,0.00197795
364,105.258,474.8,3.15032,2.87914,0.000687802
365,105.835,214.857,1.86207,179.72,0.00197805
366,106,419.616,3.91085,37.783,0.0141321
367,106.101,378.142,2.50759,292.91,0.00100269
368,106.38,461.641,2.77231,46.6971,0.00109701
369,106.38,461.641,2.77231,214.242,0.00109701
370,106.38,461.641,2.77231,277.941,0.00109701
371,106.64,116.46,1.99203,42.3736,0.00112737
372,106.827,370.303,2.13657,267.276,0.00168479
373,106.827,370.303,2.13657,346.712,0.00168479
374,106.914,372.524,19.2365,309.926,0.0211447
375,106.983,291.682,2.13638,95.3795,0.000776267
376,106.983,291.682,2.13638,320.092,0.000776267
377,107.205,354.928,2.52706,38.6988,0.00910749
378,107.303,251.458,4.21792,210.733,0.00213058
379,107.435,170.098,2.04355,11.6641,0.00204362
380,107.612,400.888,20.9338,28.5373,0.0268682
381,107.653,198.053,2.12922,178.869,0.00131294
382,107.653,198.053,2.12922,320.17,0.00131294
383,107.757,277.419,7.80169,128.517,0.00900018
384,108.288,147.494,2.03382,140.668,0.00217144
385,108.42,175.987,2.57594,169.815,0.00189485
386,108.42,175.987,2.57594,348.17,0.00189485
387,108.475,294.865,16.4985,129.7,0.010951
388,108.616,89.308,2.71026,80.5932,0.00248172
389,108.669,245.63,6.17131,208.354,0.00286429
390,108.697,446.159,2.61409,312.246,0.00123561
391,108.706,199.966,14.9265,185.407,0.0030321
392,109.118,238.365,1.91678,187.607,0.0015306
393,109.517,268.802,2.35771,189.801,0.00116385
394,109.554,378.499,2.05553,325.844,0.00109554
395,109.656,222.342,3.51261,191.198,0.00202664
396,109.896,303.706,2.37094,235.623,0.00118954
397,109.896,303.706,2.37094,310.974,0.00118954
398,109.897,108.855,2.69051,205.48,0.00204237
399,109.995,320.398,2.84014,357.099,0.00106803
400,110.063,397.611,2.31816,16.7824,0.00217116
401,110.078,264.295,3.86597,139.81,0.00230135
402,110.259,314.723,3.74235,250.702,0.00102289
403,110.641,308.851,2.12616,259.082,0.000700485
404,110.702,466.677,2.00109,131.249,0.00174954
